hospital,autor_id,review_text,review_rating,review_datetime_utc,review_likes,review_text_processed
Fort Sanders,112025388446565585776,First time I'd ever been to this hospital. It was for a day surgery. ALL the ladies in the day surgery area were WONDERFUL! From the CNAs to the Nurses and Doctors. I know it's been a tough year in the medical field but these women were phenomenal. They made me feel comfortable and made me feel like they really cared about my well being. Kudos to everyone at the day surgery unit!,good,12/10/2020 14:44:11,0,first time id ever day surgery lady day surgery area wonderful cnas nurse doctor know tough year field woman phenomenal made feel comfortable made feel like really cared well kudos everyone day surgery unit
Fort Sanders,103524066118409307693,Fort Sanders Regional is an exceptional medical center with highly skilled healthcare professionals.,good,10/21/2020 04:12:28,1,exceptional highly skilled healthcare professional
Fort Sanders,108297564396212654863,"My daughter just had her first baby Dec 10th, so naturally she was nervous. All the nurses and Dr Smith were so kind to her, answering all her questions and comforting her. Nurse Sonya was exceptional, as little Carter gave us quite a start, Sonya remained calm which reassured all of us. Special thank you to the nursery for taking the baby and allowing Alexis to rest, and for helping her and Carter get the hang of latching on. Big thanks to the hospital for allowing two people to be in there, giving Alexis the support she needed during this trying time. Wonderful job to all right down to the techs and housekeeping 👏🏼👏🏼👏🏼👏🏼",good,12/12/2020 15:52:09,0,daughter first baby dec 10th naturally nervous nurse dr smith kind answering question comforting nurse sonya exceptional little carter gave u quite start sonya remained calm reassured u special thank nursery taking baby allowing alexis rest helping carter get hang latching big thanks allowing two people giving alexis support needed trying time wonderful job right tech housekeeping
Fort Sanders,116819966663324249299,"I gave birth here and I had to stay at the hospital for 4 days because I had a c-section, I was actually afraid that the nurses were going to be rude. But I was so surprised how all the nursing nurses were super friendly! I really liked staying there, at the same time I didn't even wanted to leave! They took good care of me and was super helpful!",good,10/16/2020 18:03:19,0,gave birth stay 4 day csection actually afraid nurse going rude surprised nursing nurse super friendly really liked staying time didnt even wanted leave took good care super helpful
Fort Sanders,116381426572165159295,The staff is exceptional.   Truly cares about their patients.   Thank you all for the over the top care of my family.  You all are truly a blessing.,good,11/15/2020 14:06:15,0,staff exceptional truly care patient thank top care family truly blessing
Fort Sanders,107385024279789120722,"The hospital, nurses and doctors from the ER all the way through my mothers stay and until her death were wonderful.  My family appreciated all they did.",good,12/04/2020 13:38:33,0,nurse doctor er way mother stay death wonderful family appreciated
Fort Sanders,107103473108671991602,"Dont ware your jewelry to the emergency room.  They took my earings off,  and did not give them to my family .now onone knows where they are or what happened to them.",bad,11/21/2020 17:30:50,1,dont ware jewelry emergency room took earings give family onone know happened
Fort Sanders,103339459338437049210,My father is in the hospital and not doing well at all.the doctor has only called us 1 time in a week.the hospital will only let on person in to visit (WHICH IS A BUNCH OF BOLOGNA) because of covid-19. The sad part is that cognitively he needs to see family for brain function and at least we may see a doctor.I know the corona virus has put a damper on things but the patients are suffering mentally. If I don't have a tempature then whats the problem?(just saying),bad,09/23/2020 21:06:37,5,father well allthe doctor called u 1 time weekthe let person visit bunch bologna covid19 sad part cognitively need see family brain function least may see doctori know corona virus put damper thing patient suffering mentally dont tempature whats problemjust saying
Fort Sanders,115136908293296140978,"After having surgery they gave me a packet of not abusing opioids. Nothing on how to take care of myself . Then, proceeded to tell me that they called in medication to the pharmacy that I work at but never got anything. Once I called them back to see where they might’ve sent it or to be told what over the counter medication. They proceeded to tell me that they don’t prescribe that type of medication over the phone. When that wasn’t what I was wanting at all considering I have a document that even has hand written by the nurse your prescription was called in at your pharmacy. Not only was it degrading and unprofessional for them to tell not only a patient this but someone that this was the first surgery too. I will never go back here they haven’t even called about a follow up after I had to cancel that due to personal reasons. The only people that cared about their patients was the nurses and assistants. They talked me through the process since I was completely alone due to covid. However, the system they currently have is simply a factory. Get them in and out no service and forbid you to call after hours and bother the on call doctors. Because you’re confused and in pain. I hope that anyone reads this thinks twice and go somewhere that people will care about your health and what happens to you after they see you.",bad,09/29/2020 00:27:24,1,surgery gave packet abusing opioids nothing take care proceeded tell called medication pharmacy work never got anything called back see mightve sent told counter medication proceeded tell dont prescribe type medication phone wasnt wanting considering document even hand written nurse prescription called pharmacy degrading unprofessional tell patient someone first surgery never go back havent even called follow cancel due personal reason people cared patient nurse assistant talked process since completely alone due covid however system currently simply factory get service forbid call hour bother call doctor youre confused pain hope anyone read think twice go somewhere people care health happens see
Fort Sanders,101792572368409064526,"I have received numerous services from this hospital. ER staff is quick and thorough, the oncology floor nurses and staff are so nice and the infusion center nurses are just wonderful. Pam in the infusion center has taken care of me for several years and she has to be the kindest nurse I have ever met. Everyone from the gift shop, registration team and transporters to the nurses, resident's and doctors have provided excellent care. Great hospital! I recommend to anyone, yet I hope you dont need it haha",good,06/16/2020 18:35:13,1,received numerous service er staff quick thorough oncology floor nurse staff nice infusion nurse wonderful pam infusion taken care several year kindest nurse ever met everyone gift shop registration team transporter nurse resident doctor provided excellent care great recommend anyone yet hope dont need haha
